AER	KZN
DME	KZN
KZN	AER
KZN	DME
KZN	LED
KZN	SVX
LED	KZN
OVB	SVX
SVX	KZN
SVX	OVB
CUZ	LIM
LIM	CUZ
BOG	UIO
UIO	BOG
BOD	ZRH
BRS	ZRH
GVA	LPA
LCA	ZRH
LPA	ZRH
TFS	GVA
ZRH	BOD
ZRH	BRS
ZRH	LCA
ZRH	LPA
CGY	MNL
DWC	MNL
MNL	CGY
MNL	DWC
ACC	DKR
ACC	LOS
DKR	ACC
DKR	LOS
LOS	ACC
LOS	DKR
BKK	SIN
HAK	SIN
HGH	SIN
HKG	SIN
KIX	MNL
KIX	TPE
KUL	SIN
MNL	KIX
MNL	SIN
PER	SIN
PNH	SIN
REP	SIN
RGN	SIN
SGN	SIN
SIN	BKK
SIN	HAK
SIN	HGH
SIN	HKG
SIN	KUL
SIN	MNL
SIN	PER
SIN	PNH
SIN	REP
SIN	RGN
SIN	SGN
SIN	TPE
TPE	KIX
TPE	SIN
DRS	ZRH
ZRH	DRS
FLL	MCO
FLL	TPA
JAX	TPA
MCO	FLL
MCO	RSW
MCO	TLH
PBI	TPA
RSW	MCO
TLH	MCO
TLH	TPA
TPA	FLL
TPA	JAX
TPA	PBI
TPA	TLH
BCN	CMN
BGY	CMN
BLQ	CMN
BRU	CMN
CMN	BCN
CMN	BGY
CMN	BLQ
CMN	BRU
CMN	CUF
CMN	LGW
CMN	SAW
CMN	TLS
CMN	TSF
CUF	CMN
LGW	CMN
SAW	CMN
TLS	CMN
TSF	CMN
SDQ	SXM
SXM	SDQ
CAN	CKG
CAN	CTU
CGO	CKG
CGO	CTU
CGO	HGH
CGO	HRB
CGO	KMG
CGO	URC
CKG	CAN
CKG	CGO
CKG	CSX
CKG	CTU
CKG	DLC
CKG	HAK
CKG	HGH
CKG	KMG
CKG	NGB
CKG	NKG
CKG	NNG
CKG	PEK
CKG	PVG
CKG	SYD
CKG	SYX
CKG	SZX
CKG	TNA
CKG	TSN
CKG	TYN
CKG	URC
CKG	WUH
CKG	XIY
CSX	CKG
CSX	CTU
CSX	FOC
CSX	KMG
CSX	SHE
CSX	WNZ
CSX	XMN
CTU	CAN
CTU	CGO
CTU	CKG
CTU	CSX
CTU	HAK
CTU	HGH
CTU	HKG
CTU	ICN
CTU	KMG
CTU	KWE
CTU	MEL
CTU	NKG
CTU	NNG
CTU	PEK
CTU	PVG
CTU	SHE
CTU	SYX
CTU	SZX
CTU	TNA
CTU	TSN
CTU	TYN
CTU	URC
CTU	WNZ
CTU	WUH
CTU	XIY
CTU	XMN
DLC	CKG
DLC	HGH
DLC	HRB
DLC	TNA
FOC	CSX
FOC	XIY
HAK	CKG
HAK	CTU
HAK	HGH
HAK	NGB
HGH	CGO
HGH	CKG
HGH	CTU
HGH	DLC
HGH	HAK
HGH	KWE
HGH	TSN
HGH	TYN
HKG	CTU
HRB	CGO
HRB	DLC
HRB	NGB
HRB	NKG
HRB	TNA
HRB	TSN
HRB	WNZ
HRB	WUH
HRB	XIY
ICN	CTU
KMG	CGO
KMG	CKG
KMG	CSX
KMG	CTU
KMG	KWE
KMG	NGB
KMG	NKG
KMG	TNA
KMG	TPE
KMG	XIY
KMG	XMN
KWE	CTU
KWE	HGH
KWE	KMG
KWE	SYX
KWE	WNZ
KWL	SYX
MEL	CTU
NGB	CKG
NGB	HAK
NGB	HRB
NGB	KMG
NGB	SHE
NGB	SYX
NKG	CKG
NKG	CTU
NKG	HRB
NKG	KMG
NKG	SYX
NNG	CKG
NNG	CTU
NNG	SGN
NNG	WUH
PEK	CKG
PEK	CTU
PVG	CKG
PVG	CTU
SGN	NNG
SHE	CSX
SHE	CTU
SHE	NGB
SHE	TYN
SHE	YVR
SYD	CKG
SYX	CKG
SYX	CTU
SYX	KWE
SYX	KWL
SYX	NGB
SYX	NKG
SYX	TNA
SYX	WNZ
SZX	CKG
SZX	CTU
TNA	CKG
TNA	CTU
TNA	DLC
TNA	HRB
TNA	KMG
TNA	SYX
TNA	XIY
TPE	KMG
TSN	CKG
TSN	CTU
TSN	HGH
TSN	HRB
TYN	CKG
TYN	CTU
TYN	HGH
TYN	SHE
URC	CGO
URC	CKG
URC	CTU
URC	XIY
WNZ	CSX
WNZ	CTU
WNZ	HRB
WNZ	KWE
WNZ	SYX
WUH	CKG
WUH	CTU
WUH	HRB
WUH	NNG
XIY	CKG
XIY	CTU
XIY	FOC
XIY	HRB
XIY	KMG
XIY	TNA
XIY	URC
XIY	XMN
XMN	CSX
XMN	CTU
XMN	KMG
XMN	XIY
YVR	SHE
LAS	LAX
LAX	LAS
CAI	TLV
TLV	CAI
DFW	EZE
EZE	DFW
EZE	JFK
EZE	MIA
EZE	PUJ
JFK	EZE
MIA	EZE
MIA	PUJ
PUJ	EZE
PUJ	MIA
YYC	YEG
ACA	MEX
BOG	MEX
CUN	MEX
CUN	MTY
GDL	MEX
GDL	MTY
GDL	SAT
GDL	SJD
GDL	SNA
GDL	TIJ
HAV	MEX
HMO	MEX
JFK	MEX
LAS	MTY
MEX	ACA
MEX	BOG
MEX	CUN
MEX	GDL
MEX	HAV
MEX	HMO
MEX	JFK
MEX	MIA
MEX	MTY
MEX	PVR
MEX	SAT
MEX	SJD
MEX	SNA
MEX	TIJ
MIA	MEX
MTY	CUN
MTY	GDL
MTY	LAS
MTY	MEX
MTY	SAT
PVR	MEX
SAT	GDL
SAT	MEX
SAT	MTY
SJD	GDL
SJD	MEX
SNA	GDL
SNA	MEX
TIJ	GDL
TIJ	MEX
AYT	ZRH
BSL	HRG
HRG	BSL
HRG	ZRH
PRN	ZRH
ZRH	AYT
ZRH	HRG
ZRH	PRN
AGP	STR
AGP	TXL
ALG	CGN
AMS	HAM
ARN	CGN
ARN	DUS
ARN	HAM
ATH	CGN
ATH	STR
AYT	CGN
BCN	CGN
BCN	DUS
BCN	HAJ
BCN	HAM
BCN	STR
BEG	STR
BGO	HAM
BHX	HAM
BHX	TXL
BLQ	CGN
BLQ	TXL
BRE	STR
BRI	CGN
BRI	DUS
BRI	STR
BRU	STR
BSL	DUS
BUD	CGN
BUD	HAM
BUD	STR
CAG	CGN
CAG	DUS
CAG	STR
CDG	HAM
CGN	ALG
CGN	ARN
CGN	ATH
CGN	AYT
CGN	BCN
CGN	BLQ
CGN	BRI
CGN	BUD
CGN	CAG
CGN	CTA
CGN	DRS
CGN	DUB
CGN	EDI
CGN	FAO
CGN	FCO
CGN	HAM
CGN	HER
CGN	LEJ
CGN	LHR
CGN	LIS
CGN	LPA
CGN	MAN
CGN	MXP
CGN	NAP
CGN	NCE
CGN	PMI
CGN	PMO
CGN	PRG
CGN	PSA
CGN	SAW
CGN	SJJ
CGN	SKG
CGN	STN
CGN	TLV
CGN	TUN
CGN	TXL
CGN	VCE
CGN	VIE
CGN	VRN
CGN	WAW
CGN	ZAG
CGN	ZRH
CTA	CGN
CTA	DUS
CTA	HAJ
